team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase,game_id,is_left_to_right,goal,ownGoal,eventType,outcome,event_id
Away,PASS,PASS,1,19348,773.92,19380,775.2,B19,B20,51.84,16.560000000000002,47.52,34.56,1,1,False,False,False,PASS,True,113
Away,PASS,PASS,1,19380,775.2,19412,776.48,B20,B23,47.52,34.56,36.720000000000006,24.48,1,1,False,False,False,PASS,True,114
Away,PASS,DEEP BALL,1,19412,776.48,19470,778.8,B23,B24,36.720000000000006,24.48,14.04,26.64,1,1,False,False,False,PASS,True,115
Home,PASS,PASS,1,19482,779.28,19529,781.16,A11,A03,3.24,33.84,8.64,29.52,1,1,True,False,False,PASS,True,116
Home,PASS,PASS,1,19529,781.16,19571,782.84,A03,A08,8.64,29.52,23.76,18.0,1,1,True,False,False,PASS,True,117
Home,BALL LOST,INTERCEPTION,1,20146,805.84,20183,807.32,A04,,42.120000000000005,0.0,55.08,11.52,1,1,True,False,False,PASS,False,118
Away,PASS,HEAD,1,20182,807.28,20216,808.64,B15,B21,55.08,8.64,47.52,18.0,1,1,False,False,False,PASS,True,119
Away,PASS,PASS,1,20293,811.72,20325,813.0,B21,B19,44.28,10.8,38.88,1.44,1,1,False,False,False,PASS,True,120
Home,PASS,PASS,1,20362,814.48,20380,815.2,A07,A04,30.24,10.080000000000002,23.76,7.2,1,1,True,False,False,PASS,True,121
Home,PASS,PASS,1,20471,818.84,20528,821.12,A04,A09,30.24,2.16,46.44,36.72,1,1,True,False,False,PASS,True,122
Home,PASS,PASS,1,20552,822.08,20622,824.88,A09,A01,43.2,38.16,38.88,65.52,1,1,True,False,False,PASS,True,123
Home,BALL LOST,INTERCEPTION,1,20622,824.88,20671,826.84,A01,,38.88,65.52,56.16,61.2,1,1,True,False,False,PASS,False,124
Away,PASS,PASS,1,20666,826.64,20716,828.64,B17,B22,52.92,64.8,69.12,62.64,1,1,False,False,False,PASS,True,125
Away,PASS,PASS,1,20834,833.36,20850,834.0,B22,B20,63.72,59.04,65.88,52.56,1,1,False,False,False,PASS,True,126
Away,PASS,PASS,1,20904,836.16,20960,838.4,B20,B15,65.88,48.96,66.96,20.88,1,1,False,False,False,PASS,True,127
Away,PASS,PASS,1,21063,842.52,21086,843.44,B15,B21,54.0,16.560000000000002,47.52,15.12,1,1,False,False,False,PASS,True,128
Away,PASS,PASS,1,21128,845.12,21162,846.48,B21,B23,50.76,16.560000000000002,37.8,15.84,1,1,False,False,False,PASS,True,129
Away,PASS,PASS,1,21294,851.76,21318,852.72,B23,B21,41.04,18.0,45.36,14.4,1,1,False,False,False,PASS,True,130
Away,PASS,PASS,1,21362,854.48,21386,855.44,B21,B20,45.36,17.28,39.96,27.36,1,1,False,False,False,PASS,True,131
Away,PASS,PASS,1,21413,856.52,21437,857.48,B20,B19,37.8,25.92,34.56,33.84,1,1,False,False,False,PASS,True,132
Away,BALL LOST,INTERCEPTION,1,21437,857.48,21473,858.92,B19,,34.56,33.84,35.64,7.92,1,1,False,False,False,PASS,False,133
Away,PASS,PASS,1,21515,860.6,21549,861.96,B19,B16,42.120000000000005,33.120000000000005,57.24,30.96,1,1,False,False,False,PASS,True,134
Away,PASS,PASS,1,21580,863.2,21633,865.32,B16,B17,57.24,33.84,51.84,56.16,1,1,False,False,False,PASS,True,135
Away,PASS,PASS,1,21716,868.64,21746,869.84,B17,B16,49.68,55.44,62.63999999999999,44.64,1,1,False,False,False,PASS,True,136
Away,PASS,PASS,1,21811,872.44,21870,874.8,B16,B22,60.48,43.2,30.24,69.84,1,1,False,False,False,PASS,True,137
Home,BALL LOST,GOAL KICK-INTERCEPTION,1,22578,903.12,22661,906.44,A11,,4.32,36.72,64.8,62.64,1,1,True,False,False,PASS,False,138
Away,PASS,PASS,1,22746,909.84,22795,911.8,B21,B19,59.400000000000006,43.2,64.8,51.84,1,1,False,False,False,PASS,True,139
Away,PASS,PASS,1,22795,911.8,22814,912.56,B19,B16,64.8,51.84,74.52,44.64,1,1,False,False,False,PASS,True,140
Away,PASS,PASS,1,22814,912.56,22835,913.4,B16,B21,74.52,44.64,64.8,41.04,1,1,False,False,False,PASS,True,141
Away,PASS,PASS,1,22996,919.84,23044,921.76,B21,B15,63.72,28.08,60.48,12.24,1,1,False,False,False,PASS,True,142
Away,PASS,PASS,1,23061,922.44,23085,923.4,B15,B21,59.400000000000006,12.96,51.84,23.04,1,1,False,False,False,PASS,True,143
Away,PASS,PASS,1,23146,925.84,23174,926.96,B21,B20,47.52,30.24,56.16,45.36,1,1,False,False,False,PASS,True,144
Away,PASS,PASS,1,23193,927.72,23239,929.56,B20,B17,55.08,46.08,49.68,66.24000000000001,1,1,False,False,False,PASS,True,145
Away,PASS,PASS,1,23305,932.2,23320,932.8,B17,B21,44.28,63.36,41.04,54.0,1,1,False,False,False,PASS,True,146
Away,PASS,PASS,1,23320,932.8,23344,933.76,B21,B20,41.04,54.0,51.84,56.88,1,1,False,False,False,PASS,True,147
Away,PASS,PASS,1,23344,933.76,23388,935.52,B20,B16,51.84,56.88,58.32000000000001,41.76,1,1,False,False,False,PASS,True,148
Away,PASS,PASS,1,23500,940.0,23529,941.16,B16,B15,56.16,36.0,54.0,20.88,1,1,False,False,False,PASS,True,149
Away,PASS,PASS,1,23578,943.12,23613,944.52,B15,B18,50.76,18.0,32.4,1.44,1,1,False,False,False,PASS,True,150
Away,PASS,PASS,1,23683,947.32,23720,948.8,B18,B21,28.08,6.48,33.48,23.76,1,1,False,False,False,PASS,True,151
Away,PASS,PASS,1,23729,949.16,23748,949.92,B21,B19,33.48,24.48,23.76,28.8,1,1,False,False,False,PASS,True,152
Away,PASS,PASS,1,23748,949.92,23766,950.64,B19,B21,23.76,28.8,30.24,24.48,1,1,False,False,False,PASS,True,153
Away,BALL LOST,INTERCEPTION,1,23846,953.84,23862,954.48,B21,,32.4,27.36,33.48,32.4,1,1,False,False,False,PASS,False,154
Home,PASS,PASS,1,23860,954.4,23873,954.92,A09,A06,34.56,35.28,32.4,32.4,1,1,True,False,False,PASS,True,155
Home,BALL LOST,INTERCEPTION,1,23903,956.12,23909,956.36,A06,,32.4,34.56,31.32,42.48,1,1,True,False,False,PASS,False,156
Away,PASS,PASS,1,23909,956.36,23942,957.68,B19,B24,33.48,37.44,32.4,33.84,1,1,False,False,False,PASS,True,157
Away,PASS,PASS,1,23958,958.32,23977,959.08,B24,B18,32.4,31.68,31.32,22.32,1,1,False,False,False,PASS,True,158
Home,PASS,PASS,1,24035,961.4,24072,962.88,A06,A04,25.92,36.0,19.44,26.64,1,1,True,False,False,PASS,True,159
Home,PASS,PASS,1,24072,962.88,24098,963.92,A04,A02,19.44,26.64,16.2,38.88,1,1,True,False,False,PASS,True,160
Away,PASS,PASS,1,24186,967.44,24218,968.72,B16,B19,52.92,38.88,36.720000000000006,46.8,1,1,False,False,False,PASS,True,161
Away,PASS,PASS,1,24218,968.72,24239,969.56,B19,B21,36.720000000000006,46.8,37.8,36.0,1,1,False,False,False,PASS,True,162
Away,PASS,PASS,1,24266,970.64,24287,971.48,B21,B19,36.720000000000006,38.16,37.8,47.52,1,1,False,False,False,PASS,True,163
Away,PASS,PASS,1,24308,972.32,24383,975.32,B19,B23,35.64,47.52,19.44,8.64,1,1,False,False,False,PASS,True,164
