team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Away,BALL LOST,BALL LOST,1,14967,598.68,15046,601.84,B24,,62.63999999999999,2.88,33.48,4.32,1
Home,RECOVERY,RECOVERY,1,15043,601.72,15043,601.72,A02,,35.64,9.36,,,1
Home,PASS,PASS,1,15043,601.72,15109,604.36,A02,A11,35.64,9.36,17.28,30.96,1
Home,BALL LOST,INTERCEPTION,1,15152,606.08,15224,608.96,A11,,17.28,37.44,61.559999999999995,62.64,1
Away,CHALLENGE,AERIAL-WON,1,15222,608.88,15222,608.88,B17,,58.32000000000001,60.48,,,1
Away,RECOVERY,INTERCEPTION,1,15222,608.88,15222,608.88,B17,,58.32000000000001,60.48,,,1
Away,BALL LOST,HEAD,1,15222,608.88,15270,610.8,B17,,58.32000000000001,60.48,42.120000000000005,65.52,1
Home,CHALLENGE,AERIAL-LOST,1,15224,608.96,15224,608.96,A05,,57.24,60.48,,,1
Home,RECOVERY,RECOVERY,1,15269,610.76,15269,610.76,A01,,44.279999999999994,65.52,,,1
Home,PASS,PASS,1,15298,611.92,15336,613.44,A01,A05,47.52,70.56,56.160000000000004,67.67999999999999,1
Away,RECOVERY,INTERCEPTION,1,15300,612.0,15300,612.0,B22,,49.68,70.56,,,1
Away,BALL LOST,BALL LOST,1,15300,612.0,15336,613.44,B22,,49.68,70.56,61.559999999999995,65.52,1
Home,PASS,PASS,1,15363,614.52,15379,615.16,A05,A09,60.480000000000004,69.12,64.8,63.36,1
Home,PASS,PASS,1,15419,616.76,15430,617.2,A09,A05,69.12,63.36,75.6,63.36,1
Home,BALL LOST,BALL LOST,1,15430,617.2,15464,618.56,A05,,75.6,63.36,87.48,51.12,1
Away,RECOVERY,RECOVERY,1,15462,618.48,15462,618.48,B16,,85.32000000000001,51.12,,,1
Away,PASS,PASS,1,15473,618.92,15521,620.84,B16,B25,86.4,51.12,101.52,43.92,1
Away,BALL LOST,BALL LOST,1,15521,620.84,15646,625.84,B25,,101.52,43.92,47.52,24.48,1
Home,RECOVERY,INTERCEPTION,1,15646,625.84,15646,625.84,A04,,49.68,24.48,,,1
Home,PASS,HEAD,1,15646,625.84,15690,627.6,A04,A03,49.68,24.48,42.120000000000005,33.120000000000005,1
Home,CHALLENGE,GROUND-FAULT-WON,1,15690,627.6,15690,627.6,A03,,42.120000000000005,33.120000000000005,,,1
